timestamp,forecast_price,forecast_horizon_hours
2025-06-19 01:00:00+02:00,4.741124115388051,1
2025-06-19 02:00:00+02:00,4.741124115388051,2
2025-06-19 03:00:00+02:00,4.741124115388051,3
2025-06-19 04:00:00+02:00,4.741124115388051,4
2025-06-19 05:00:00+02:00,4.741124115388051,5
2025-06-19 06:00:00+02:00,4.741124115388051,6
2025-06-19 07:00:00+02:00,4.741124115388051,7
2025-06-19 08:00:00+02:00,4.741124115388051,8
2025-06-19 09:00:00+02:00,4.741124115388051,9
2025-06-19 10:00:00+02:00,3.593555936482131,10
2025-06-19 11:00:00+02:00,3.593555936482131,11
2025-06-19 12:00:00+02:00,3.593555936482131,12
2025-06-19 13:00:00+02:00,2.744679271995567,13
2025-06-19 14:00:00+02:00,2.744679271995567,14
2025-06-19 15:00:00+02:00,2.744679271995567,15
2025-06-19 16:00:00+02:00,4.425944382482955,16
2025-06-19 17:00:00+02:00,4.425944382482955,17
2025-06-19 18:00:00+02:00,4.425944382482955,18
2025-06-19 19:00:00+02:00,4.425944382482955,19
2025-06-19 20:00:00+02:00,4.425944382482955,20
2025-06-19 21:00:00+02:00,4.425944382482955,21
2025-06-19 22:00:00+02:00,4.425944382482955,22
2025-06-19 23:00:00+02:00,4.425944382482955,23
2025-06-20 00:00:00+02:00,4.653226924212381,24
